"","sample_code","sample_type","infected_count","disease","organ","portion","branch","total_count","leaf_incidence","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_soil_sample_CODE","distance_class","log_total_count"
"71","FIC1COF2_Kita","No_CLR_leaves_middle_portion_3rd_branch",3,"CLR","leaves","middle","3rd",10,0.3,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.30258509299405
"72","FIC1COF2_Kita","No_CLR_leaves_middle_portion_4th_branch",2,"CLR","leaves","middle","4th",11,0.181818181818182,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.39789527279837
"73","FIC1COF2_Kita","No_CRBD_leaves_middle_portion_1st_branch",0,"CRBD","leaves","middle","1st",32,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.46573590279973
"74","FIC1COF2_Kita","No_CRBD_leaves_middle_portion_2nd_branch",0,"CRBD","leaves","middle","2nd",74,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",4.30406509320417
"75","FIC1COF2_Kita","No_CRBD_leaves_middle_portion_3rd_branch",0,"CRBD","leaves","middle","3rd",10,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.30258509299405
"76","FIC1COF2_Kita","No_CRBD_leaves_middle_portion_4th_branch",0,"CRBD","leaves","middle","4th",11,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.39789527279837
"77","FIC1COF2_Kita","No_CRBD_berries_middle_portion_1st_branch",0,"CRBD","berries","middle","1st",2,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",0.693147180559945
"78","FIC1COF2_Kita","No_CRBD_berries_middle_portion_2nd_branch",0,"CRBD","berries","middle","2nd",27,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.29583686600433
"79","FIC1COF2_Kita","No_CRBD_berries_middle_portion_3rd_branch",0,"CRBD","berries","middle","3rd",19,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.94443897916644
"80","FIC1COF2_Kita","No_CRBD_berries_middle_portion_4th_branch",1,"CRBD","berries","middle","4th",14,0.0714285714285714,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.63905732961526
"81","FIC1COF2_Kita","No_CWD_leaves_Top_portion_1st_branch",0,"CWD","leaves","Top","1st",8,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.07944154167984
"82","FIC1COF2_Kita","No_CWD_leaves_Top_portion_2nd_branch",0,"CWD","leaves","Top","2nd",14,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.63905732961526
"83","FIC1COF2_Kita","No_CWD_leaves_Top_portion_3rd_branch",0,"CWD","leaves","Top","3rd",16,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.77258872223978
"84","FIC1COF2_Kita","No_CWD_leaves_Top_portion_4th_branch",0,"CWD","leaves","Top","4th",12,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.484906649788
"85","FIC1COF2_Kita","No_CLR_leaves_Top_portion_1st_branch",2,"CLR","leaves","Top","1st",8,0.25,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.07944154167984
"86","FIC1COF2_Kita","No_CLR_leaves_Top_portion_2nd_branch",4,"CLR","leaves","Top","2nd",14,0.285714285714286,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.63905732961526
"87","FIC1COF2_Kita","No_CLR_leaves_Top_portion_3rd_branch",2,"CLR","leaves","Top","3rd",16,0.125,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.77258872223978
"88","FIC1COF2_Kita","No_CLR_leaves_Top_portion_4th_branch",1,"CLR","leaves","Top","4th",12,0.0833333333333333,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.484906649788
"89","FIC1COF2_Kita","No_CRBD_leaves_Top_portion_1st_branch",1,"CRBD","leaves","Top","1st",8,0.125,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.07944154167984
