"","Shade_tree_species","Section_of_Kaweri","sample_code","Coffee_Variety","Actual_distance_from_shade_tree_m","Shade_tree_Canopy_Cover","Shade_tree_soil_sample_CODE","Longitude","Latitude","Longitude_dd","Latitude_dd","distance_class"
"53","Pa","Kitagweta","AVO11COF2_Kita","Clone D",11,7.53,"AVO11_Kita","31° 27′ 55.6″ E","0° 37′ 26.1″ N",31.4654444444444,0.623916666666667,"(8-16]"
"54","Pa","Kitagweta","AVO11COF3_Kita","Clone A",20,7.53,"AVO11_Kita","31° 27′ 55.6″ E","0° 37′ 26.1″ N",31.4654444444444,0.623916666666667,"(16-22]"
"55","Fn","Kitemba","FIC3COF1_Kite","Op2",3,40.4,"FIC3_Kite","31° 30′ 37.5″ E","0° 46′ 30.9″ N",31.5104166666667,0.77525,"[0-8]"
"56","Fn","Kitemba","FIC3COF2_Kite","Op2",11,40.4,"FIC3_Kite","31° 30′ 37.5″ E","0° 46′ 30.9″ N",31.5104166666667,0.77525,"(8-16]"
"57","Fn","Kitemba","FIC3COF3_Kite","Op2",20,40.4,"FIC3_Kite","31° 30′ 37.5″ E","0° 46′ 30.9″ N",31.5104166666667,0.77525,"(16-22]"
"58","Fn","Kitemba","FIC10COF1_Kite","Clone A",5,26.45,"FIC10_Kite","31° 28′ 3.8″ E","0° 37′ 52.5″ N",31.4677222222222,0.63125,"[0-8]"
"59","Fn","Kitemba","FIC10COF2_Kite","Clone F",11,26.45,"FIC10_Kite","31° 28′ 3.8″ E","0° 37′ 52.5″ N",31.4677222222222,0.63125,"(8-16]"
"60","Fn","Kitemba","FIC10COF3_Kite","Clone A",20,26.45,"FIC10_Kite","31° 28′ 3.8″ E","0° 37′ 52.5″ N",31.4677222222222,0.63125,"(16-22]"
"61","Fn","Kitemba","FIC11COF1_Kite","Op1",5,48.18,"FIC11_Kite","31° 28′ 4.8″ E","0° 37′ 52.4″ N",31.468,0.631222222222222,"[0-8]"
"62","Fn","Kitemba","FIC11COF2_Kite","Clone A",10,48.18,"FIC11_Kite","31° 28′ 4.8″ E","0° 37′ 52.4″ N",31.468,0.631222222222222,"(8-16]"
"63","Fn","Kitemba","FIC11COF3_Kite","Clone F",20,48.18,"FIC11_Kite","31° 28′ 4.8″ E","0° 37′ 52.4″ N",31.468,0.631222222222222,"(16-22]"
"64","Fn","Kitemba","FIC12COF1_Kite","Op1",4,51.29,"FIC12_Kite","31° 28′ 6.4″ E","0° 37′ 51.5″ N",31.4684444444444,0.630972222222222,"[0-8]"
"65","Fn","Kitemba","FIC12COF2_Kite","Clone B",10,51.29,"FIC12_Kite","31° 28′ 6.4″ E","0° 37′ 51.5″ N",31.4684444444444,0.630972222222222,"(8-16]"
"66","Fn","Kitemba","FIC12COF3_Kite","Clone C",20,51.29,"FIC12_Kite","31° 28′ 6.4″ E","0° 37′ 51.5″ N",31.4684444444444,0.630972222222222,"(16-22]"
"67","Ac","Kitemba","ALB4COF1_Kite","Op1",5,65.26,"ALB4_Kite","31° 29′ 6.4″ E","0° 37′ 53.5″ N",31.4851111111111,0.631527777777778,"[0-8]"
"68","Ac","Kitemba","ALB4COF2_Kite","Op1",10,65.26,"ALB4_Kite","31° 29′ 6.4″ E","0° 37′ 53.5″ N",31.4851111111111,0.631527777777778,"(8-16]"
"69","Ac","Kitemba","ALB4COF3_Kite","Clone F",20,65.26,"ALB4_Kite","31° 29′ 6.4″ E","0° 37′ 53.5″ N",31.4851111111111,0.631527777777778,"(16-22]"
"70","Ac","Kitemba","ALB17COF1_Kite","Op1",5,1.61,"ALB17_Kite","31° 26′ 51.3″ E","0° 38′ 56.8″ N",31.4475833333333,0.649111111111111,"[0-8]"
"71","Ac","Kitemba","ALB17COF2_Kite","Clone A",11,1.61,"ALB17_Kite","31° 26′ 51.3″ E","0° 38′ 56.8″ N",31.4475833333333,0.649111111111111,"(8-16]"
"72","Ac","Kitemba","ALB17COF3_Kite","Clone A",20,1.61,"ALB17_Kite","31° 26′ 51.3″ E","0° 38′ 56.8″ N",31.4475833333333,0.649111111111111,"(16-22]"
"73","Ac","Kitemba","ALB18COF1_Kite","Clone C",5,0.85,"ALB18_Kite","31° 28′ 3.4″ E","0° 37′ 34.8″ N",31.4676111111111,0.626333333333333,"[0-8]"
"74","Ac","Kitemba","ALB18COF2_Kite","Clone A",10,0.85,"ALB18_Kite","31° 28′ 3.4″ E","0° 37′ 34.8″ N",31.4676111111111,0.626333333333333,"(8-16]"
"75","Ac","Kitemba","ALB18COF3_Kite","Clone B",22,0.85,"ALB18_Kite","31° 28′ 3.4″ E","0° 37′ 34.8″ N",31.4676111111111,0.626333333333333,"(16-22]"
"76","Ac","Kitemba","ALB19COF1_Kite","Op1",5,11.59,"ALB19_Kite","31° 27’ 52.99″ E","0° 37’ 35.94″ N",31.4647194444444,0.62665,"[0-8]"
"77","Ac","Kitemba","ALB19COF2_Kite","Op1",10,11.59,"ALB19_Kite","31° 27’ 52.99″ E","0° 37’ 35.94″ N",31.4647194444444,0.62665,"(8-16]"
"78","Ac","Kitemba","ALB19COF3_Kite","Op1",20,11.59,"ALB19_Kite","31° 27’ 52.99″ E","0° 37’ 35.94″ N",31.4647194444444,0.62665,"(16-22]"
"79","Ac","Kitemba","ALB20COF1_Kite","Clone B",5,0.38,"ALB20_Kite","31° 27’ 51.12″ E","0° 37’ 35.87″ N",31.4642,0.626630555555556,"[0-8]"
"80","Ac","Kitemba","ALB20COF2_Kite","Clone A",11,0.38,"ALB20_Kite","31° 27’ 51.12″ E","0° 37’ 35.87″ N",31.4642,0.626630555555556,"(8-16]"
"81","Ac","Kitemba","ALB20COF3_Kite","Clone D",20,0.38,"ALB20_Kite","31° 27’ 51.12″ E","0° 37’ 35.87″ N",31.4642,0.626630555555556,"(16-22]"
"82","Ah","Kitemba","JAC1COF1_Kite","Clone A",5,66.93,"JAC1_Kite","31° 28′ 22.2″ E","0° 36′ 60″ N",31.4728333333333,0.616666666666667,"[0-8]"
"83","Ah","Kitemba","JAC1COF2_Kite","Clone B",11,66.93,"JAC1_Kite","31° 28′ 22.2″ E","0° 36′ 60″ N",31.4728333333333,0.616666666666667,"(8-16]"
